Area_Axon,Centroid_X,Centroid_Y,Perimeter_Axon,AxonDiameter_MinFeret,AxonDiameter_Circle,AxonDiameter_ShapeAdjustedEllipse
0.56,69.2,-11.8,2.86,0.8,0.844616,0.611728
0.45,46.2,-11.9,2.55,0.7,0.757132,0.555094
0.54,45.3,-12.5,2.84,0.72,0.829396,0.58649
0.35,48.9,-14.1,2.49,0.49,0.667727,0.405835
0.34,47.8,-14.2,2.26,0.53,0.658119,0.462719
0.59,62.8,-14.7,2.91,0.8,0.866944,0.640531
0.61,61.9,-15,3.55,0.68,0.881516,0.478787
0.54,40.5,-15,3.25,0.83,0.829396,0.468058
0.37,39.2,-15.7,2.81,0.41,0.68654,0.36491
0.07,51.8,-15.6,1.07,0.25,0.298617,0.194321
0.12,35.3,-16,1.83,0.37,0.390981,0.17583
0.92,48.5,-16.8,4.04,0.89,1.082578,0.656929
0.42,51.6,-17.8,2.51,0.56,0.731459,0.515006
0.2,49,-17.8,1.69,0.42,0.504754,0.375374
0.39,47.6,-18.3,2.42,0.56,0.704851,0.495741
0.5,47.9,-18.9,2.6,0.68,0.798087,0.638401
0.47,42.2,-19.1,3.14,0.68,0.773774,0.415966
0.14,47.2,-19.3,1.42,0.4,0.422308,0.311054
0.16,46.8,-19.7,1.62,0.38,0.451466,0.292533
0.51,43,-19.9,3.75,0.64,0.806028,0.364495
0.57,40.8,-21.6,3.32,0.65,0.852124,0.484833
0.29,34.6,-21.9,2.11,0.56,0.607805,0.418206
0.4,40.3,-22.3,2.99,0.75,0.713831,0.367935
0.64,33.6,-23.5,3.09,0.74,0.902932,0.63923
0.35,32.4,-23.5,2.21,0.54,0.667727,0.510853
0.46,38.1,-23.7,2.56,0.61,0.765498,0.570606
0.28,44.6,-25.7,2.38,0.51,0.597234,0.329288
0.26,46.5,-26.4,2.89,0.44,0.575509,0.238161
0.53,43.6,-26.5,3.5,0.66,0.821681,0.414354
0.35,44.8,-26.7,2.55,0.54,0.667727,0.391336
0.61,41.2,-26.8,2.93,0.85,0.881516,0.666986
0.66,39.5,-29.5,3,0.86,0.916932,0.724036
0.09,38.6,-29.3,1.12,0.31,0.3386,0.259796
0.2,38.6,-29.8,1.82,0.42,0.504754,0.324262
0.64,40.4,-30.1,3.14,0.7,0.902932,0.618929
0.67,39.3,-30.6,3.45,0.64,0.923852,0.560073
0.35,40.8,-30.9,2.4,0.47,0.667727,0.43109
0.8,40.3,-32,3.5,0.82,1.009509,0.696046
0.61,26.2,-33.3,3.06,0.84,0.881516,0.606383
0.55,26.4,-34.5,2.78,0.78,0.837041,0.634604
0.84,26.8,-35.3,3.59,0.89,1.034439,0.711837
0.54,25.7,-35.3,2.83,0.64,0.829396,0.590854
0.61,32.4,-36.9,3.33,0.62,0.881516,0.525022
0.44,28,-37.2,2.54,0.63,0.748672,0.539997
0.21,28.8,-37.2,1.71,0.52,0.517219,0.396952
0.35,29.1,-37.9,2.18,0.64,0.667727,0.530704
0.2,27.6,-37.9,1.7,0.47,0.504754,0.370247
0.16,32.8,-39,1.54,0.39,0.451466,0.322094
0.24,33.2,-39.5,2.05,0.42,0.552931,0.339256
0.38,33,-40.7,2.31,0.63,0.695756,0.528001
0.18,47.9,-41.2,1.56,0.42,0.478852,0.383226
0.37,48.4,-41.6,2.29,0.58,0.68654,0.515025
0.48,28.4,-42.9,2.69,0.66,0.781962,0.54773
0.28,19,-43.8,2.33,0.5,0.597234,0.339317
0.4,16.6,-44.8,2.46,0.64,0.713831,0.498247
0.44,19.1,-47.8,2.62,0.58,0.748672,0.507116
0.25,28.4,-49.9,2.01,0.46,0.564333,0.370272
0.79,33.1,-9.2,3.22,0.91,1.00318,0.844689
0.68,34,-9.3,3.05,0.79,0.930721,0.731508
0.22,34.4,-8.5,1.8,0.47,0.529391,0.380179
0.27,35.1,-9.1,1.95,0.49,0.586472,0.443512
0.52,32,-9.8,2.7,0.63,0.813892,0.61888
0.88,36.2,-9.5,3.85,0.86,1.058782,0.669972
0.15,35.8,-10.1,1.51,0.33,0.43713,0.303924
0.2,36.2,-10.5,1.69,0.43,0.504754,0.375374
0.26,36.7,-11.1,2.14,0.39,0.575509,0.351441
0.4,36.1,-11.2,2.76,0.48,0.713831,0.410754
0.4,35,-11.6,2.37,0.58,0.713831,0.541711
0.61,32.6,-12.5,3.24,0.67,0.881516,0.548111
0.56,34,-12.4,3.11,0.56,0.844616,0.523649
0.79,36.7,-12.2,3.47,0.93,1.00318,0.694859
0.08,37.6,-11.4,1.11,0.25,0.319235,0.219378
0.2,37.8,-11.8,1.95,0.39,0.504754,0.290981
0.19,38.5,-12.2,1.93,0.27,0.491974,0.277444
0.36,38.1,-12.5,2.84,0.37,0.677199,0.348564
0.25,37.6,-12.7,2.01,0.4,0.564333,0.370272
1.22,35,-14.8,4.21,1.03,1.246652,0.908193
0.38,33.6,-16,2.32,0.57,0.695756,0.52234
0.32,34.5,-16.2,2.16,0.52,0.63847,0.463467
0.22,34.9,-16.4,1.97,0.36,0.529391,0.322949
0.4,36.2,-16.4,2.36,0.68,0.713831,0.547666
0.44,37.1,-15.8,2.56,0.67,0.748672,0.531002
0.31,38.9,-14.9,2.25,0.49,0.628414,0.408466
0.45,39.6,-15.3,2.54,0.62,0.757132,0.560173
0.24,37.8,-14.7,1.92,0.46,0.552931,0.380314
0.15,38.1,-15.2,1.47,0.37,0.43713,0.321863
0.23,37.7,-15.8,1.77,0.49,0.541289,0.428284
0.25,38.3,-15.9,2.01,0.46,0.564333,0.370272
0.25,38.2,-16.3,1.93,0.42,0.564333,0.400249
0.18,37.6,-16.3,1.55,0.46,0.478852,0.39124
0.11,37.1,-16.4,1.24,0.31,0.374336,0.286047
0.1,37.5,-16.7,1.22,0.33,0.356915,0.253711
0.21,36.9,-16.8,1.98,0.3,0.517219,0.302195
0.41,33.9,-16.8,2.47,0.58,0.722698,0.513114
0.18,34.4,-16.9,1.77,0.31,0.478852,0.295318
0.13,34,-17.3,1.51,0.29,0.406946,0.249571
0.28,37,-14.3,2.05,0.45,0.597234,0.420349
0.35,37.2,-15,2.23,0.53,0.667727,0.499421
0.16,37.8,-13.3,1.45,0.38,0.451466,0.379434
0.7,37.8,-13.8,3.94,0.58,0.944309,0.489136
0.2,35.1,-13.4,1.85,0.34,0.504754,0.315539
0.3,38.4,-13.3,2.12,0.48,0.618195,0.435908
0.47,39.4,-13.9,3.06,0.53,0.773774,0.431058
0.09,40.2,-14,1.1,0.29,0.3386,0.273572
0.1,40,-13.6,1.17,0.3,0.356915,0.280608
0.04,40,-14.3,0.84,0.15,0.225733,0.138384
0.23,39.2,-14.2,2.06,0.32,0.541289,0.319
0.2,39.3,-13,1.76,0.36,0.504754,0.344465
0.54,40.4,-15.8,3.1,0.67,0.829396,0.502163
0.44,40.1,-16.3,2.66,0.6,0.748672,0.493194
0.22,39.2,-16.2,1.79,0.47,0.529391,0.384855
0.66,39.2,-16.9,3.12,0.81,0.916932,0.657062
0.12,39.9,-16.7,1.59,0.27,0.390981,0.209916
0.23,38.5,-17.4,2.04,0.35,0.541289,0.323753
0.16,38.2,-17.6,1.61,0.43,0.451466,0.295715
0.4,37.5,-17.5,2.43,0.54,0.713831,0.511127
0.37,37.8,-18.2,2.3,0.53,0.68654,0.509648
0.61,36.5,-18.4,3.04,0.65,0.881516,0.614317
0.36,36.6,-18.9,2.54,0.45,0.677199,0.407887
0.15,37.5,-18.8,1.72,0.4,0.43713,0.245543
0.39,41.2,-18.5,2.41,0.52,0.704851,0.50002
0.53,42.1,-18.3,2.66,0.7,0.821681,0.670785
0.3,34.2,-17.9,2.24,0.55,0.618195,0.393699
0.35,34.9,-18.5,2.28,0.58,0.667727,0.475053
0.34,34.1,-18.4,2.3,0.49,0.658119,0.446985
0.2,33.3,-17.7,1.76,0.4,0.504754,0.344465
0.24,34.1,-18.9,1.91,0.43,0.552931,0.38425
0.23,33.9,-19.4,1.79,0.47,0.541289,0.41514
0.44,34.8,-19.2,2.61,0.54,0.748672,0.510822
0.1,35.4,-18.9,1.27,0.35,0.356915,0.234896
0.22,33.6,-20.1,1.75,0.48,0.529391,0.406427
0.24,34.2,-20.1,1.82,0.53,0.552931,0.42939
0.43,35.5,-20,2.5,0.6,0.740115,0.539038
0.61,36.7,-19.8,2.91,0.8,0.881516,0.678931
0.78,36.3,-20.8,3.41,0.91,0.99681,0.7062
0.29,35.3,-20.9,1.99,0.49,0.607805,0.479092
0.57,33.9,-20.7,2.84,0.69,0.852124,0.640418
0.28,34.6,-21,2.19,0.48,0.597234,0.372933
0.68,33.5,-21.6,3.14,0.84,0.930721,0.679624
0.56,32.9,-22.5,3.05,0.68,0.844616,0.540815
0.19,33.5,-22.2,1.72,0.34,0.491974,0.334066
0.4,34.7,-22.5,2.72,0.5,0.713831,0.419714
0.52,34.2,-22.9,2.88,0.61,0.813892,0.540054
0.86,36.7,-22.2,3.68,0.94,1.046681,0.702647
0.57,37.1,-20.6,2.93,0.68,0.852124,0.5974
0.53,38.5,-20.5,2.9,0.62,0.821681,0.547811
0.47,39.7,-20.8,2.57,0.62,0.773774,0.586597
0.65,35.7,-21.9,2.97,0.84,0.909959,0.723709
0.48,35.7,-22.9,2.56,0.69,0.781962,0.616391
0.63,36.6,-23.6,3.33,0.66,0.89585,0.547067
0.55,35.4,-23.8,3.34,0.67,0.837041,0.460462
0.72,34.8,-24.2,3.1,0.86,0.957704,0.782074
0.68,40.9,-29.1,3.72,0.65,0.930721,0.510769
0.36,46,-29.3,2.7,0.48,0.677199,0.373045
0.25,47.3,-30.8,1.81,0.51,0.564333,0.47677
0.1,47.2,-30.4,1.23,0.33,0.356915,0.249496
0.09,46.9,-30.8,1.3,0.22,0.3386,0.197286
0.09,47.6,-31.4,1.16,0.29,0.3386,0.239618
0.57,47,-31.6,2.87,0.8,0.852124,0.62465
0.2,46.4,-31.8,1.78,0.44,0.504754,0.337249
0.21,46.3,-32.2,2.04,0.36,0.517219,0.28941
0.19,47.7,-31.8,1.64,0.41,0.491974,0.369783
0.18,47,-32.2,1.64,0.36,0.478852,0.338715
0.33,50.6,-31.5,2.3,0.49,0.648369,0.428399
0.27,51.1,-31.9,2.02,0.43,0.586472,0.409899
0.45,48.2,-32.7,2.73,0.53,0.757132,0.486084
0.33,48.1,-33.8,2.13,0.54,0.648369,0.506134
0.21,48.7,-35.7,1.78,0.43,0.517219,0.362179
0.68,49.2,-38.8,3.79,0.63,0.930721,0.497913
0.87,50,-39.7,3.85,0.74,1.052749,0.659886
0.49,49.3,-40.5,2.95,0.56,0.790066,0.47913
0.46,50.2,-40.6,2.48,0.69,0.765498,0.623357
0.44,51.5,-41.5,2.48,0.73,0.748672,0.571471
0.31,52.4,-41.5,2.14,0.53,0.628414,0.44968
0.28,52,-41.9,2.05,0.54,0.597234,0.420349
0.22,51.5,-42.4,1.84,0.45,0.529391,0.363482
0.41,40,-39.9,2.65,0.47,0.722698,0.451176
0.16,40.4,-40.1,1.49,0.44,0.451466,0.348181
0.3,40.9,-40.7,2.1,0.55,0.618195,0.444744
0.58,40.3,-41,2.87,0.82,0.859566,0.64315
0.79,41.1,-41.5,3.42,0.98,1.00318,0.715895
0.62,41.7,-41.1,3.06,0.81,0.888712,0.621299
0.56,39.5,-41.9,3.03,0.67,0.844616,0.546959
0.39,39.5,-42.6,2.41,0.51,0.704851,0.50002
0.15,40.2,-42.4,1.54,0.34,0.43713,0.292703
0.43,40.6,-43.1,2.66,0.53,0.740115,0.477823
0.16,40,-43.2,1.5,0.37,0.451466,0.342194
0.21,39.4,-43.4,1.81,0.4,0.517219,0.350534
0.19,40,-43.8,1.65,0.41,0.491974,0.364424
0.51,39.3,-44,2.62,0.72,0.806028,0.649283
0.41,39.9,-44.5,2.54,0.49,0.722698,0.485613
0.41,40.8,-44,2.67,0.59,0.722698,0.445729
0.23,40.9,-44.5,1.79,0.46,0.541289,0.41514
0.12,42.1,-41.9,1.34,0.3,0.390981,0.276305
0.18,41.7,-42,1.57,0.44,0.478852,0.376041
0.37,41.1,-42.3,2.36,0.6,0.68654,0.481674
1.09,42.1,-42.8,3.98,0.9,1.178361,0.858158
0.35,43.1,-43.5,2.58,0.47,0.667727,0.384639
0.24,42.1,-43.9,2.08,0.47,0.552931,0.331647
0.34,41.9,-44.4,2.26,0.57,0.658119,0.462719
1.24,43,-44.3,4.1,1.14,1.256828,1.001058
0.31,44.1,-43.1,2.06,0.53,0.628414,0.493574
0.18,44.7,-43.3,1.71,0.39,0.478852,0.31285
0.29,44.1,-43.7,2.11,0.46,0.607805,0.418206
0.25,44.5,-44,1.86,0.46,0.564333,0.436649
0.2,44.1,-44.3,1.69,0.48,0.504754,0.375374
0.27,45.1,-43.6,2.02,0.47,0.586472,0.409899
0.55,45.1,-44.8,3.15,0.66,0.837041,0.501462
0.13,43.5,-44.7,1.64,0.23,0.406946,0.221176
0.63,42.1,-45.2,3.44,0.54,0.89585,0.52061
0.33,40.3,-45.3,2.31,0.47,0.648369,0.425095
0.22,40.9,-45.6,1.81,0.39,0.529391,0.375724
0.28,37.7,-45.7,1.98,0.49,0.597234,0.454995
0.43,38.5,-46,2.83,0.56,0.740115,0.432892
1.08,46.8,-45.7,4.16,0.88,1.172943,0.77493
1.04,46.4,-46.7,3.93,0.85,1.151017,0.818689
0.44,53.1,-47.3,2.72,0.51,0.748672,0.474554
0.27,42.2,-48.9,2.09,0.44,0.586472,0.384399
0.33,41.6,-49.4,2.25,0.57,0.648369,0.446395
0.2,43.8,-49.7,1.96,0.34,0.504754,0.288825
0.2,44.2,-50.1,1.69,0.47,0.504754,0.375374
0.18,44.7,-50.3,1.61,0.46,0.478852,0.352668
0.18,45.2,-50.4,1.55,0.43,0.478852,0.39124
0.44,43.9,-50.6,2.78,0.67,0.748672,0.458024
0.38,42.8,-51.3,2.52,0.51,0.695756,0.443329
0.3,42,-51.3,2.11,0.54,0.618195,0.440238
0.38,41.4,-51.8,2.35,0.58,0.695756,0.506836
0.31,40.4,-52,2.09,0.59,0.628414,0.474884
0.08,40.9,-52.1,1.08,0.31,0.319235,0.232131
0.2,41.8,-52.3,1.73,0.46,0.504754,0.356447
0.41,42.3,-52,2.6,0.59,0.722698,0.465789
0.36,39.9,-52.5,2.17,0.66,0.677199,0.574194
0.35,39.6,-53.1,2.31,0.51,0.667727,0.462524
0.48,39.5,-54.1,2.72,0.74,0.781962,0.535807
0.94,44.4,-54.4,3.7,0.95,1.094282,0.795025
0.32,48.5,-48.5,2.07,0.61,0.63847,0.5187
0.1,49.1,-48.4,1.19,0.27,0.356915,0.26836
0.46,49.5,-48.8,2.57,0.63,0.765498,0.565361
0.54,48.3,-49.3,2.81,0.75,0.829396,0.599987
0.57,49.1,-49.7,2.82,0.76,0.852124,0.651996
0.63,48.1,-50.3,3.19,0.66,0.89585,0.587727
0.62,50.1,-49.6,3.01,0.77,0.888712,0.643321
0.47,50.2,-48.4,3.14,0.44,0.773774,0.415998
0.33,47,-52.6,2.31,0.46,0.648369,0.425095
0.48,47.4,-53.3,2.52,0.76,0.781962,0.648569
0.54,48,-52.9,2.86,0.66,0.829396,0.578126
0.48,48,-53.7,2.68,0.72,0.781962,0.551935
0.73,48.9,-53.9,3.26,0.91,0.964332,0.700947
0.32,49.8,-53.2,2.38,0.57,0.63847,0.388307
0.49,50.4,-53.7,2.74,0.63,0.790066,0.544512
0.4,49.9,-54.1,2.53,0.63,0.713831,0.472341
0.15,49.2,-54.8,1.76,0.3,0.43713,0.237805
0.2,43.8,-55.2,1.68,0.46,0.504754,0.380828
0.49,34.4,-54.5,2.73,0.63,0.790066,0.548463
1.06,37.8,-56.3,4.24,0.9,1.162032,0.731087
0.75,35.6,-56.3,3.59,0.79,0.977453,0.608437
0.7,39,-57,3.38,0.71,0.944309,0.613878
0.58,40.2,-57.5,2.98,0.81,0.859566,0.592775
0.3,41.1,-57.7,2.31,0.45,0.618195,0.374577
0.46,34.7,-56.9,2.66,0.57,0.765498,0.525581
0.44,33.8,-57,2.68,0.54,0.748672,0.48671
0.41,34.8,-57.5,2.64,0.55,0.722698,0.45398
0.71,33.8,-57.6,3.37,0.69,0.95103,0.629379
0.54,34.8,-58.1,2.96,0.67,0.829396,0.542006
0.59,39.9,-58.4,2.95,0.72,0.866944,0.621221
0.29,39.4,-58.3,2.52,0.42,0.607805,0.3176
0.42,46.6,-58.9,2.41,0.65,0.731459,0.566354
0.27,46.5,-59.6,2.04,0.57,0.586472,0.40199
0.21,46.2,-60,1.77,0.4,0.517219,0.366401
0.1,45.8,-60.4,1.22,0.29,0.356915,0.253711
0.49,46.4,-60.6,2.8,0.6,0.790066,0.522799
0.46,38.7,-59.3,2.83,0.53,0.765498,0.471595
0.42,38.4,-60.2,2.38,0.66,0.731459,0.587384
0.28,39.5,-59.6,2.21,0.47,0.597234,0.367508
0.26,39.4,-60.1,1.88,0.49,0.575509,0.45669
0.33,39.5,-60.8,2.31,0.47,0.648369,0.425095
0.3,40.6,-61.5,2.28,0.43,0.618195,0.382408
0.43,41.6,-61.9,2.55,0.57,0.740115,0.516813
0.89,43,-10.6,3.99,0.72,1.064781,0.642
0.33,45,-10.9,2.32,0.53,0.648369,0.421876
0.18,46.8,-11.6,1.59,0.44,0.478852,0.363482
0.49,47.9,-11,2.87,0.64,0.790066,0.500878
0.45,46.4,-13.2,2.65,0.59,0.757132,0.512696
0.42,45.3,-13.1,2.67,0.49,0.731459,0.460045
0.25,44.6,-13.4,2.2,0.37,0.564333,0.321004
0.68,42.8,-13.2,4.51,0.44,0.930721,0.401225
0.43,45.8,-13.6,2.6,0.57,0.740115,0.497736
0.27,46.9,-13.8,1.91,0.49,0.586472,0.469693
0.28,50.2,-14.1,2.24,0.46,0.597234,0.35981
0.46,51.4,-13.7,2.69,0.62,0.765498,0.514493
0.89,52.7,-13.9,3.93,0.78,1.064781,0.657526
0.47,51.1,-14.3,2.64,0.61,0.773774,0.551351
0.41,53.4,-13.6,2.54,0.51,0.722698,0.485613
0.64,54.2,-13.4,3.18,0.62,0.902932,0.604294
0.18,53.9,-14.2,1.62,0.34,0.478852,0.347756
0.61,52,-14.6,2.95,0.76,0.881516,0.655953
0.26,54.6,-14.6,2.02,0.45,0.575509,0.387784
0.09,53.8,-14.9,1.42,0.2,0.3386,0.174662
0.29,54.2,-15.1,2.09,0.45,0.607805,0.426224
0.88,50.8,-11.5,3.49,1.04,1.058782,0.818655
1.01,53,-14.9,3.7,1.01,1.134295,0.903685
0.78,49.8,-14.7,3.53,0.74,0.99681,0.660408
0.71,47.9,-15.7,3.39,0.63,0.95103,0.622758
0.58,53.4,-15.7,3.21,0.63,0.859566,0.521112
0.68,54.3,-15.9,3.41,0.71,0.930721,0.581685
0.38,52.8,-16.8,2.39,0.5,0.695756,0.488835
0.21,53.7,-16.6,1.79,0.43,0.517219,0.358138
0.68,54.9,-17,3.06,0.87,0.930721,0.724771
0.32,53.6,-17.2,2.28,0.47,0.63847,0.416907
0.4,52.7,-17.7,2.56,0.51,0.713831,0.462596
0.37,55.4,-18.1,2.49,0.53,0.68654,0.436465
0.42,55.7,-19.3,2.95,0.6,0.731459,0.396568
0.61,50.1,-17.8,3.32,0.58,0.881516,0.527442
0.56,48.8,-18.3,3.19,0.57,0.844616,0.503209
0.55,46.8,-18.8,3.12,0.6,0.837041,0.508966
0.34,47.7,-19.7,2.31,0.5,0.658119,0.443348
0.17,46.5,-19.2,1.67,0.36,0.465361,0.301466
0.23,48.3,-17.8,1.92,0.36,0.541289,0.357801
0.86,55.9,-17.6,3.41,0.88,1.046681,0.837059
0.35,56.4,-18.7,2.33,0.46,0.667727,0.45483
0.8,57.2,-17.9,3.28,0.89,1.009509,0.814236
0.51,51.2,-20.1,2.68,0.69,0.806028,0.609383
0.52,51.9,-20.6,2.78,0.78,0.813892,0.578537
0.51,52.9,-20.7,2.94,0.58,0.806028,0.507521
0.39,50.4,-21.5,2.59,0.42,0.704851,0.438544
0.55,53.4,-21.4,3.26,0.64,0.837041,0.476519
0.54,51.3,-22.1,3.05,0.57,0.829396,0.515301
0.5,51.7,-21.3,3.08,0.56,0.798087,0.460437
0.69,52.7,-21.9,3.82,0.55,0.93754,0.501202
0.67,49.9,-20.6,3.06,0.87,0.923852,0.705274
